Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
Q05515	Q05515	6	6	6	Survival factor 1	SVF1	sp|Q05515|SVF1_YEAST Survival factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SVF1 PE=1 SV=1	1	6	6	6	20.8	20.8	20.8	54.367	481	481	0	69.16	0.65	0.97351	14.984	6	0	Leave out requantified	1969800000	1261700000	708130000				1924	1280;4029;5204;5298;5369;9998	True;True;True;True;True;True	1296;4061;5252;5346;5417;10098	4119;4120;4121;12137;12138;12139;15567;15568;15796;15797;16047;16048;29785;29786;29787;29788;29789	7660;7661;7662;22223;22224;22225;22226;28464;28465;28852;28853;28854;28855;28856;28857;29316;29317;53551;53552;53553;53554;53555;53556;53557;53558	7662;22224;28464;28857;29317;53552			-1
Q05518	Q05518	3	3	3	Protein PAL1	PAL1	sp|Q05518|PAL1_YEAST Protein PAL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAL1 PE=1 SV=1	1	3	3	3	8.6	8.6	8.6	54.995	499	499	0	6.457	NaN	NaN	NaN	1	0	Median	12134000	7587900	4546000				1925	1810;7751;9893	True;True;True	1830;7816;9991	5733;23014;23015;29491	10600;41486;41487;53041	10600;41487;53041			-1
Q05543	Q05543	3	3	3	Regulator of Ty1 transposition protein 103	RTT103	sp|Q05543|RT103_YEAST Regulator of Ty1 transposition protein 103 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RTT103 PE=1 SV=1	1	3	3	3	8.8	8.8	8.8	46.488	409	409	0	3.1089	0.71838	1.1155	19.478	2	0	Median	76057000	33045000	43011000				1926	8624;9332;13354	True;True;True	8699;9416;13487	25736;27821;39784	46368;50018;50019;71214	46368;50018;71214			-1
Q05549	Q05549	2	2	2	Putative ATP-dependent helicase HRQ1	HRQ1	sp|Q05549|HRQ1_YEAST ATP-dependent helicase HRQ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HRQ1 PE=1 SV=1	1	2	2	2	2.1	2.1	2.1	123.55	1077	1077	0	3.9671	0.80151	1.1463	0.98461	2	0	Median	1749900	956020	793870				1927	7832;9357	True;True	7897;9444	23242;23243;27957	41876;41877;50293	41876;50293			-1
Q05567	Q05567	10	10	10	Sphingosine-1-phosphate lyase	DPL1	sp|Q05567|SGPL_YEAST Sphingosine-1-phosphate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DPL1 PE=1 SV=1	1	10	10	10	28.7	28.7	28.7	65.565	589	589	0	29.919	0.74586	1.1315	17.406	10	0	Leave out requantified	486710000	276160000	210550000				1928	6970;8680;10128;10415;11648;13039;14971;15448;15582;15805	True;True;True;True;True;True;True;True;True;True	7029;8755;10228;10521;11762;13169;15120;15599;15735;15958	20782;25874;25875;30122;30123;31080;34392;38568;38569;45050;46524;46525;46938;46939;47592;47593	37680;46591;46592;54119;54120;55812;61541;61542;69035;69036;69037;80820;83607;83608;83609;83610;83611;84339;84340;84341;84342;85497;85498	37680;46592;54119;55812;61542;69035;80820;83607;84341;85498			-1
Q05580	Q05580	3	3	3	E3 ubiquitin-protein ligase HEL2	HEL2	sp|Q05580|HEL2_YEAST E3 ubiquitin-protein ligase HEL2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HEL2 PE=1 SV=1	1	3	3	3	7.5	7.5	7.5	72.755	639	639	0	19.936	0.60764	0.9866	22.28	4	0	Leave out requantified	179430000	118180000	61259000				1929	8156;11739;12719	True;True;True	8223;11855;12847	24189;24190;34649;34650;37530;37531;37532	43655;43656;43657;62016;62017;62018;62019;67091;67092;67093;67094;67095	43656;62018;67092			-1
Q05584	Q05584	2	2	2	Hydroxyacylglutathione hydrolase, cytoplasmic isozyme	GLO2	sp|Q05584|GLO2_YEAST Hydroxyacylglutathione hydrolase, cytoplasmic isozyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLO2 PE=1 SV=1	1	2	2	2	8.4	8.4	8.4	31.326	274	274	0	2.8762	NaN	NaN	NaN	1	0	Median	155490000	121730000	33766000				1930	6828;15367	True;True	6884;15518	20377;20378;46251	37005;37006;83085	37005;83085			-1
Q05636	Q05636	3	3	3	Exosome complex component RRP45	RRP45	sp|Q05636|RRP45_YEAST Exosome complex component RRP45 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RRP45 PE=1 SV=1	1	3	3	3	9.5	9.5	9.5	33.962	305	305	0	2.8309	0.81642	1.2311	36.795	2	0	Median	140320000	107590000	32726000				1931	324;6228;6229	True;True;True	328;6281;6282	1199;18509;18510;18511;18512	2141;33784;33785;33786;33787;33788	2141;33785;33787			-1
Q05672	Q05672	3	3	3	RNA-binding suppressor of PAS kinase protein 1	RBS1	sp|Q05672|RBS1_YEAST RNA-binding suppressor of PAS kinase protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RBS1 PE=1 SV=1	1	3	3	3	8.8	8.8	8.8	51.956	457	457	0	12.118	0.73311	1.1484	10.853	4	0	Leave out requantified	46778000	30699000	16079000				1932	7015;11266;13795	True;True;True	7074;11379;13932	20872;33336;41165;41166;41167;41168	37821;59775;73653;73654;73655;73656;73657;73658	37821;59775;73655			-1
Q05775	Q05775	14	14	14	Eukaryotic translation initiation factor 3 subunit J	HCR1	sp|Q05775|EIF3J_YEAST Eukaryotic translation initiation factor 3 subunit J OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HCR1 PE=1 SV=1	1	14	14	14	52.5	52.5	52.5	29.564	265	265	0	91.647	0.74281	1.1445	19.578	26	0	Leave out requantified	4450100000	2358700000	2091400000				1933	202;713;753;775;776;1822;1927;1928;1938;2746;6507;7115;12483;13742	True;True;True;True;True;True;True;True;True;True;True;True;True;True	204;723;763;785;786;1842;1949;1950;1960;2772;6561;7175;12611;13878	776;777;2353;2354;2355;2356;2499;2500;2552;2553;2554;2555;2556;2557;5781;5782;6091;6092;6093;6094;6095;6096;6097;6098;6099;6189;6190;6191;6192;8603;8604;8605;19498;19499;19500;19501;21134;36928;36929;36930;36931;41048;41049	1364;1365;1366;1367;4377;4378;4379;4380;4381;4382;4383;4384;4635;4636;4637;4638;4730;4731;4732;4733;4734;4735;10687;10688;11212;11213;11214;11215;11216;11217;11218;11219;11220;11221;11373;11374;11375;11376;11377;11378;11379;11380;11381;15699;15700;15701;35555;35556;35557;35558;35559;35560;35561;35562;38239;66167;66168;66169;66170;66171;66172;73434;73435;73436;73437	1364;4383;4637;4731;4733;10687;11214;11218;11373;15699;35558;38239;66172;73434			-1
Q05778	Q05778	3	3	3	Proteasome chaperone 1	PBA1	sp|Q05778|POC1_YEAST Proteasome chaperone 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PBA1 PE=1 SV=2	1	3	3	3	20.3	20.3	20.3	30.695	276	276	0	6.1941	NaN	NaN	NaN	0	0	Median	517160	0	517160				1934	8775;10137;11996	True;True;True	8850;10237;12114	26176;30148;35454	47161;54172;63417	47161;54172;63417			-1
Q05785	Q05785	3	3	3	Epsin-2	ENT2	sp|Q05785|ENT2_YEAST Epsin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENT2 PE=1 SV=1	1	3	3	3	9.8	9.8	9.8	71.806	613	613	0	17.566	0.6306	1.0046	23.049	4	0	Leave out requantified	93513000	55426000	38087000				1935	2520;12340;12946	True;True;True	2544;12466;13076	7897;36510;36511;38292;38293	14380;14381;65377;65378;65379;68558;68559	14380;65378;68559			-1
Q05788	Q05788	4	4	4	Purine nucleoside phosphorylase	PNP1	sp|Q05788|PNPH_YEAST Purine nucleoside phosphorylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PNP1 PE=1 SV=1	1	4	4	4	21.9	21.9	21.9	33.755	311	311	0	32.583	0.98719	1.5192	12.657	5	0	Leave out requantified	257200000	131880000	125310000				1936	16;1799;7830;9401	True;True;True;True	16;1819;7895;9490	62;63;5693;23237;28084;28085	116;117;10506;41868;50509;50510;50511;50512;50513;50514;50515	117;10506;41868;50510			-1
Q05874	Q05874	3	3	3	Protein N-methyltransferase NNT1	NNT1	sp|Q05874|EFM7_YEAST Protein N-terminal and lysine N-methyltransferase EFM7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NNT1 PE=1 SV=1	1	3	3	3	28.4	28.4	28.4	29.632	261	261	0	10.618	0.60356	0.92492	35.658	5	0	Leave out requantified	285280000	177280000	108000000				1937	8131;9022;12449	True;True;True	8198;9099;12577	24112;24113;24114;26944;26945;36833;36834	43501;43502;43503;43504;43505;43506;48478;48479;48480;48481;65990;65991;65992	43506;48479;65991			-1
Q05881	Q05881	4	4	4	Uncharacterized protein YLR287C	YLR287C	sp|Q05881|YL287_YEAST Uncharacterized protein YLR287C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YLR287C PE=1 SV=1	1	4	4	4	15.5	15.5	15.5	40.927	355	355	0	10.415	0.83456	1.3815	26.505	3	0	Median	234010000	126620000	107390000				1938	364;8041;8134;14761	True;True;True;True	369;8108;8201;14909	1316;1317;23894;23895;24122;44421	2364;2365;2366;43111;43112;43526;43527;79658	2365;43112;43527;79658			-1
Q05905	Q05905	7	7	7	Protein HRI1	HRI1	sp|Q05905|HRI1_YEAST Protein HRI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HRI1 PE=1 SV=1	1	7	7	7	38.5	38.5	38.5	27.5	244	244	0	53.349	0.54678	0.86471	18.085	12	0	Leave out requantified	2700200000	1709300000	990830000				1939	2653;2965;2966;3943;8155;10238;10529	True;True;True;True;True;True;True	2677;2994;2995;3975;8222;10342;10635	8268;8269;8270;8271;8272;8273;9226;9227;9228;11917;11918;24185;24186;24187;24188;30562;30563;31399	15086;15087;15088;15089;15090;15091;15092;15093;15094;15095;15096;15097;15098;15099;16834;16835;16836;21798;21799;43647;43648;43649;43650;43651;43652;43653;43654;54918;54919;54920;54921;56422	15097;16834;16835;21799;43649;54921;56422			-1
Q05911	Q05911	12	12	12	Adenylosuccinate lyase	ADE13	sp|Q05911|PUR8_YEAST Adenylosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE13 PE=1 SV=1	1	12	12	12	25.9	25.9	25.9	54.51	482	482	0	41.826	0.55763	0.86348	15.318	13	0	Leave out requantified	2826100000	1855900000	970190000				1940	1029;2565;5243;6771;8080;10571;12533;12534;14835;14836;15369;15880	True;True;True;True;True;True;True;True;True;True;True;True	1044;2589;5291;6827;8147;10678;12661;12662;14984;14985;15520;16034	3271;3272;8012;8013;15673;20240;20241;20242;23989;23990;23991;23992;31553;31554;31555;31556;37065;37066;44626;44627;44628;44629;44630;44631;44632;46254;47835;47836	6031;6032;6033;6034;14572;14573;28652;36788;36789;36790;36791;36792;36793;36794;43311;43312;43313;43314;43315;43316;56691;56692;56693;56694;66378;66379;80036;80037;80038;80039;80040;80041;80042;80043;80044;80045;80046;83090;85905;85906	6031;14573;28652;36791;43311;56692;66378;66379;80037;80038;83090;85905			-1
Q05933	Q05933	3	3	3	Actin-related protein 2/3 complex subunit 3	ARC18	sp|Q05933|ARPC3_YEAST Actin-related protein 2/3 complex subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARC18 PE=1 SV=1	1	3	3	3	37.1	37.1	37.1	20.578	178	178	0	61.052	0.70097	1.0687	27.23	7	0	Leave out requantified	997720000	615000000	382730000				1941	10566;14845;15371	True;True;True	10673;14994;15522	31541;31542;31543;31544;31545;44652;44653;44654;46257;46258;46259	56676;56677;56678;56679;56680;56681;56682;80078;80079;80080;80081;80082;80083;80084;80085;80086;80087;83093;83094;83095;83096;83097	56678;80084;83093			-1
Q05934	Q05934	1	1	1	Vacuolar import and degradation protein 22	VID22	sp|Q05934|VID22_YEAST Vacuolar import and degradation protein 22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VID22 PE=1 SV=1	1	1	1	1	2.6	2.6	2.6	102.5	901	901	0	2.8697	NaN	NaN	NaN	0	0	Median	19580000	19580000	0				1942	8186	True	8253	24268;24269	43790;43791	43791			-1
Q05942	Q05942	2	2	2	Ribosome assembly protein 3	RSA3	sp|Q05942|RSA3_YEAST Ribosome assembly protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RSA3 PE=1 SV=1	1	2	2	2	14.1	14.1	14.1	24.656	220	220	0.0019175	1.8536	NaN	NaN	NaN	1	0	Median	98250000	62368000	35882000				1943	8654;12551	True;True	8729;12679	25799;37098	46463;66430	46463;66430			-1
Q05946	Q05946	4	4	4	U3 small nucleolar RNA-associated protein 13	UTP13	sp|Q05946|UTP13_YEAST U3 small nucleolar RNA-associated protein 13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UTP13 PE=1 SV=1	1	4	4	4	9.5	9.5	9.5	91.031	817	817	0	15.714	0.76566	1.1417	18.991	6	0	Leave out requantified	499610000	300690000	198920000				1944	1380;4210;5706;13573	True;True;True;True	1396;4242;5756;13708	4430;4431;12584;12585;17075;17076;17077;17078;40464;40465;40466	8220;8221;23040;23041;23042;31181;31182;31183;31184;31185;31186;31187;72433;72434;72435;72436;72437	8221;23040;31186;72433			-1
Q05948	Q05948	4	4	4	Uncharacterized SVF1-like protein YLR225C	YLR225C	sp|Q05948|YL225_YEAST Uncharacterized SVF1-like protein YLR225C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YLR225C PE=1 SV=1	1	4	4	4	11.8	11.8	11.8	46.422	407	407	0	31.622	0.6168	1.0052	16.7	4	0	Leave out requantified	168980000	108410000	60575000				1945	2959;9061;11949;15599	True;True;True;True	2988;9138;12067;15752	9213;9214;27054;35272;35273;46984	16811;16812;48690;63105;63106;84403	16812;48690;63105;84403			-1
Q05949	Q05949	1	1	1	Protein BUR2	BUR2	sp|Q05949|BUR2_YEAST Protein BUR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BUR2 PE=1 SV=1	1	1	1	1	4.6	4.6	4.6	45.72	395	395	0	5.9565	NaN	NaN	NaN	0	0	Median	1087000	1087000	0				1946	3548	True	3578	10794	19733;19734	19733			-1
Q05979	Q05979	1	1	1	Kynureninase	BNA5	sp|Q05979|KYNU_YEAST Kynureninase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BNA5 PE=1 SV=1	1	1	1	1	3.8	3.8	3.8	51.031	453	453	0.0046838	1.6028	0.49428	0.77545	6.6155	2	0	Median	10935000	7520600	3414300				1947	3589	True	3619	10914;10915	19922;19923	19922			-1
Q06010	Q06010	5	5	5	A-factor-processing enzyme	STE23	sp|Q06010|STE23_YEAST A-factor-processing enzyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE23 PE=1 SV=2	1	5	5	5	6.6	6.6	6.6	117.58	1027	1027	0	41.317	0.61829	0.97225	4.2641	7	0	Leave out requantified	372070000	254390000	117680000				1948	1901;3667;5945;12337;13247	True;True;True;True;True	1922;3698;5997;12463;13378	6004;6005;6006;6007;11130;11131;17708;17709;36491;36492;39161;39162	11058;11059;11060;11061;11062;20334;20335;20336;20337;20338;32349;32350;65323;65324;65325;70103;70104;70105	11062;20334;32349;65325;70105			-1
Q06053	Q06053	3	3	3	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]	DUS3	sp|Q06053|DUS3_YEAST tRNA-dihydrouridine(47) synthase [NAD(P)(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DUS3 PE=1 SV=2	1	3	3	3	8.5	8.5	8.5	76.595	668	668	0	4.2589	NaN	NaN	NaN	1	0	Median	79868000	27132000	52736000				1949	7017;11471;11472	True;True;True	7076;11584;11585	20878;33795;33796;33797;33798;33799	37831;60492;60493;60494;60495;60496	37831;60493;60495			-1
Q06063	Q06063	1	1	1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]	DUS4	sp|Q06063|DUS4_YEAST tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DUS4 PE=1 SV=1	1	1	1	1	6	6	6	41.696	367	367	0	9.6478	0.90799	1.3604	26.473	2	0	Median	30525000	15837000	14688000				1950	2277	True	2301	7216;7217	13239;13240	13240			-1
Q06070	Q06070	2	2	2	Uncharacterized protein YLR407W	YLR407W	sp|Q06070|YL407_YEAST Uncharacterized protein YLR407W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YLR407W PE=1 SV=2	1	2	2	2	21.1	21.1	21.1	25.545	228	228	0	3.9461	NaN	NaN	NaN	0	0	Median	33812000	10048000	23764000				1951	6818;9109	True;True	6874;9186	20348;27209;27210	36957;48944;48945	36957;48945			-1
Q06078	Q06078	4	4	4	U3 small nucleolar RNA-associated protein 21	UTP21	sp|Q06078|UTP21_YEAST U3 small nucleolar RNA-associated protein 21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UTP21 PE=1 SV=1	1	4	4	4	4.9	4.9	4.9	104.79	939	939	0	7.9794	0.81544	1.2745	19.487	7	0	Leave out requantified	536450000	348030000	188420000				1952	2271;6868;8512;9466	True;True;True;True	2295;6924;8585;9556	7190;7191;7192;7193;20481;20482;25291;28270;28271	13207;13208;13209;13210;37169;37170;45640;50861;50862	13209;37170;45640;50861			-1
Q06090	Q06090	1	1	1	54S ribosomal protein L51, mitochondrial	MRPL51	sp|Q06090|RM51_YEAST 54S ribosomal protein L51, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRPL51 PE=1 SV=1	1	1	1	1	10	10	10	16.123	140	140	0	3.8757	NaN	NaN	NaN	1	0	Median	29368000	17550000	11818000				1953	13515	True	13648	40255	72051	72051			-1
Q06096	Q06096	3	3	3	Conserved oligomeric Golgi complex subunit 4	COG4	sp|Q06096|COG4_YEAST Conserved oligomeric Golgi complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COG4 PE=1 SV=1	1	3	3	3	5.3	5.3	5.3	98.664	861	861	0	6.6267	0.58035	0.94066	13.797	3	0	Median	54345000	30908000	23436000				1954	479;8837;15802	True;True;True	488;8913;15955	1685;26352;47584;47585	3087;47463;47464;47465;85480;85481	3087;47465;85480			-1
Q06103	Q06103	11	11	11	26S proteasome regulatory subunit RPN7	RPN7	sp|Q06103|RPN7_YEAST 26S proteasome regulatory subunit RPN7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN7 PE=1 SV=3	1	11	11	11	32.9	32.9	32.9	48.958	429	429	0	47.848	0.68043	1.049	15.844	15	0	Leave out requantified	2924500000	1778900000	1145500000				1955	2030;3162;4737;5645;9668;10905;12519;14144;14904;15350;15847	True;True;True;True;True;True;True;True;True;True;True	2053;3191;4776;5695;9763;11016;12647;14286;15053;15501;16001	6493;6494;6495;9818;9819;14317;14318;16915;16916;16917;16918;28826;32420;37019;37020;37021;37022;42509;42510;44798;44799;44800;46220;47734	11951;11952;11953;11954;11955;17959;17960;26315;26316;30933;30934;30935;30936;30937;30938;30939;51887;58207;66315;66316;66317;66318;66319;76030;76031;76032;80339;80340;80341;80342;80343;83010;85729;85730;85731;85732	11953;17959;26315;30934;51887;58207;66318;76031;80343;83010;85731			-1
Q06106	Q06106	9	9	9	Multiple RNA-binding domain-containing protein 1	MRD1	sp|Q06106|MRD1_YEAST Multiple RNA-binding domain-containing protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRD1 PE=1 SV=1	1	9	9	9	15.3	15.3	15.3	101.12	887	887	0	18.232	0.58815	0.9312	24.924	8	0	Leave out requantified	858950000	507250000	351710000				1956	2045;3949;5648;7662;8218;9678;9953;12541;12713	True;True;True;True;True;True;True;True;True	2068;3981;5698;7725;8285;9774;10051;12669;12841	6535;6536;6537;11931;11932;16924;22600;22601;22602;22603;24338;28865;29647;29648;29649;37075;37076;37077;37511;37512	12053;12054;12055;12056;12057;21819;21820;21821;30948;40791;40792;40793;40794;43909;51957;53292;53293;53294;66392;66393;66394;67057;67058	12053;21821;30948;40791;43909;51957;53292;66394;67058			-1
Q06107	Q06107	1	1	1	Uncharacterized TLC domain-containing protein YPR114W	YPR114W	sp|Q06107|YP114_YEAST Uncharacterized TLC domain-containing protein YPR114W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR114W PE=1 SV=1	1	1	1	1	4.4	4.4	4.4	36.75	315	315	0	5.6718	0.58637	0.89167	0.32181	2	0	Median	23593000	14121000	9471900				1957	9253	True	9334	27599;27600	49618;49619;49620;49621;49622;49623;49624;49625	49619			-1
Q06142	Q06142	12	12	12	Importin subunit beta-1	KAP95	sp|Q06142|IMB1_YEAST Importin subunit beta-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KAP95 PE=1 SV=1	1	12	12	12	22.5	22.5	22.5	94.775	861	861	0	138.51	0.58223	0.9357	16.538	29	0	Leave out requantified	1754000000	1089700000	664250000				1958	96;5128;5680;5888;7118;7306;8940;9540;10742;12737;14146;16020	True;True;True;True;True;True;True;True;True;True;True;True	96;5175;5730;5938;7178;7369;9017;9632;10849;12865;14288;16175	432;433;434;435;436;15323;15324;15325;17009;17010;17533;17534;17535;17536;21139;21140;21679;21680;21681;21682;21683;21684;21685;26633;28481;28482;32000;32001;37591;37592;37593;37594;37595;42513;42514;48186;48187;48188	750;751;752;753;754;755;756;757;758;759;760;761;762;763;28010;28011;28012;28013;28014;28015;28016;28017;28018;28019;31078;31079;31080;32021;32022;32023;32024;32025;32026;32027;32028;32029;32030;38244;38245;38246;39160;39161;39162;39163;39164;39165;39166;39167;39168;39169;47914;51236;51237;57469;57470;57471;57472;67200;67201;67202;67203;67204;67205;67206;67207;67208;67209;67210;67211;67212;67213;67214;67215;67216;67217;67218;76037;76038;86543;86544;86545;86546	750;28018;31079;32028;38245;39169;47914;51237;57471;67206;76038;86545			-1
Q06143	Q06143	2	2	2	Mitochondrial dicarboxylate transporter	DIC1	sp|Q06143|DIC1_YEAST Mitochondrial dicarboxylate transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DIC1 PE=1 SV=1	1	2	2	2	13.4	13.4	13.4	32.991	298	298	0.00049116	2.0909	NaN	NaN	NaN	1	0	Median	3772300	2269700	1502600				1959	5681;9398	True;True	5731;9487	17011;28080;28081	31081;50505;50506	31081;50506	133	261	-1
Q06146	Q06146	5	5	5	Uncharacterized protein YLR257W	YLR257W	sp|Q06146|YL257_YEAST Uncharacterized protein YLR257W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YLR257W PE=1 SV=1	1	5	5	5	22.7	22.7	22.7	35.998	321	321	0	11.372	0.63292	1.0242	4.9865	9	0	Leave out requantified	672260000	392190000	280070000				1960	5604;9492;12025;12437;12438	True;True;True;True;True	5653;9584;12143;12565;12566	16740;28361;28362;35546;36800;36801;36802;36803;36804;36805;36806	30659;30660;51050;51051;51052;63598;65941;65942;65943;65944;65945;65946;65947;65948;65949	30659;51052;63598;65941;65947			-1
Q06151	Q06151	7	7	7	m7GpppX diphosphatase	DCS1	sp|Q06151|DCPS_YEAST m7GpppX diphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DCS1 PE=1 SV=1	1	7	7	7	22.6	22.6	22.6	40.769	350	350	0	10.413	0.54221	0.83732	19.209	5	0	Leave out requantified	319530000	212800000	106730000				1961	3583;7274;8410;12545;12546;13480;15506	True;True;True;True;True;True;True	3613;7337;8482;12673;12674;13613;15658	10902;21567;25053;25054;37084;37085;37086;40149;46719	19900;38954;45210;45211;45212;45213;45214;66402;66403;66404;71848;83933	19900;38954;45212;66402;66404;71848;83933			-1
Q06168	Q06168	4	4	4	Chromatin structure-remodeling complex subunit SFH1	SFH1	sp|Q06168|SFH1_YEAST Chromatin structure-remodeling complex subunit SFH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SFH1 PE=1 SV=1	1	4	4	4	17.1	17.1	17.1	48.777	426	426	0	13.581	0.75134	1.1128	36.8	6	0	Leave out requantified	520550000	324530000	196020000				1962	950;2222;3108;8926	True;True;True;True	964;2245;3137;9002	3042;3043;7037;7038;7039;7040;9682;9683;26600	5568;5569;12943;12944;12945;12946;12947;12948;12949;12950;17688;17689;17690;47869	5568;12946;17688;47869			-1
Q06169	Q06169	1	1	1	Peroxisomal membrane protein PEX30	PEX30	sp|Q06169|PEX30_YEAST Peroxisomal membrane protein PEX30 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PEX30 PE=1 SV=1	1	1	1	1	3.3	3.3	3.3	59.461	523	523	0	71.806	NaN	NaN	NaN	0	0	Median	80291000	80291000	0				1963	14704	True	14852	44263;44264;44265	79311;79312;79313	79312			-1
Q06170	Q06170	1	1	1	Uncharacterized membrane protein YLR326W	YLR326W	sp|Q06170|YL326_YEAST Uncharacterized membrane protein YLR326W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YLR326W PE=1 SV=1	1	1	1	1	5.8	5.8	5.8	27.423	240	240	0.0037807	1.7037	NaN	NaN	NaN	1	0	Median	3769700	1689200	2080400				1964	7043	True	7102	20937	37918	37918			-1
Q06178	Q06178	1	1	1	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1	NMA1	sp|Q06178|NMA1_YEAST Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NMA1 PE=1 SV=1	1	1	1	1	3.7	3.7	3.7	45.859	401	401	0	3.2065	0.73495	1.1111	2.1242	2	0	Median	225390000	127660000	97736000				1965	15994	True	16149	48117;48118	86395;86396;86397;86398;86399	86399			-1
Q06179	Q06179	1	1	1	Protein FMP27, mitochondrial	FMP27	sp|Q06179|FMP27_YEAST Protein FMP27, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FMP27 PE=1 SV=1	1	1	1	1	1	1	1	303.48	2628	2628	0	2.6069	NaN	NaN	NaN	0	0	Median	1481100	1481100	0				1966	13824	True	13961	41272	73830	73830			-1
